series_name,Episode,UserRating,UserVotes,series_ep,link,r1,r10,r2,r3,r4,r5,r6,r7,r8,r9,season,season_ep,NA.
Blood and Oil,Pilot,7.7,200,1,/title/tt4675928/,0.07971014492753623,0.3333333333333333,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.043478260869565216,0.18115942028985507,0.2028985507246377,0.08695652173913043,1,1,NA
Blood and Oil,The Ripple Effect,7.5,138,2,/title/tt4675930/,0.065,0.33,0.02,0.01,0.015,0.04,0.045,0.135,0.235,0.105,1,2,NA
Blood and Oil,Hustle and Flow,7.2,112,3,/title/tt4675932/,0.11,0.37,0.02,0,0.01,0.02,0.07,0.25,0.13,0.02,1,3,NA
Blood and Oil,The Birthday Party,7.2,100,4,/title/tt4675934/,0.09821428571428571,0.3482142857142857,0.017857142857142856,0.017857142857142856,0,0.03571428571428571,0.03571428571428571,0.25892857142857145,0.13392857142857142,0.05357142857142857,1,4,NA
Blood and Oil,Rocks and Hard Places,7.3,103,5,/title/tt4675936/,0.08888888888888889,0.37777777777777777,0.03333333333333333,0,0,0.03333333333333333,0.05555555555555555,0.17777777777777778,0.17777777777777778,0.05555555555555555,1,5,NA
Blood and Oil,Convergence,7.5,88,6,/title/tt4675938/,0.08737864077669903,0.39805825242718446,0.019417475728155338,0,0,0.038834951456310676,0.10679611650485436,0.14563106796116504,0.1650485436893204,0.038834951456310676,1,6,NA
Blood and Oil,Fight or Flight,7.6,90,7,/title/tt4675940/,0.10227272727272728,0.375,0.03409090909090909,0,0,0.022727272727272728,0.09090909090909091,0.13636363636363635,0.20454545454545456,0.03409090909090909,1,7,NA
Blood and Oil,"Rats, Bugs and Moles",7.4,78,8,/title/tt4675942/,0.10256410256410256,0.3333333333333333,0.02564102564102564,0,0.01282051282051282,0.01282051282051282,0.0641025641025641,0.20512820512820512,0.21794871794871795,0.02564102564102564,1,8,NA
Blood and Oil,Art of the Deal,7.4,67,9,/title/tt4675944/,0.08955223880597014,0.2835820895522388,0.029850746268656716,0,0.014925373134328358,0.014925373134328358,0.05970149253731343,0.19402985074626866,0.208955223880597,0.1044776119402985,1,9,NA
Blood and Oil,Departures,7.2,69,10,/title/tt4675946/,0.10144927536231885,0.2753623188405797,0.043478260869565216,0,0,0.07246376811594203,0.057971014492753624,0.15942028985507245,0.13043478260869565,0.15942028985507245,1,10,NA
